Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply.Â ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted,lat,long,google_maps_url,physical_county
ABLE Community Development Foundation,1963 Carlson Blvd,Richmond,CA,94804,510-274-0958,https://www.ablecommunitydf.org,Sery Tatpaporn,President/CEO,ablecommunitydf@gmail.com,ABLE Community Development Foundation,,Digital literacy & skills training,County-wide or across multiple counties,"Contra Costa, Sacramento",,In-Person,,AAPI Wellness Center,Richmond,510-274-0958,0900 AM to 5:00 PM,https://www.ablecommunitydf.org,AAPI Wellness Center,Richmond,,0900 AM to 5:00 PM,https://www.ablecommunitydf.org,AAPI Wellness Center,Richmond,,0900 AM to 5:00 PM,https://www.ablecommunitydf.org,AAPI Wellness Center,Richmond,,0900 AM to 5:00 PM,https://www.ablecommunitydf.org,AAPI Wellness Center,Richmond,,0900 AM to 5:00 PM,https://www.ablecommunitydf.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,1/7/26 15:01,37.909011,-122.310597,"https://www.google.com/maps?q=37.909011,-122.310597",Contra Costa
Acton & Agua Dulce Democratic Club,Virtual,,,,818-298-1735,https://www.actonaguadulcedemocraticclub.com/,Jessica Fish,VP Membership/Programming,acton.aguadulce.democrats@gmail.com,Acton & Agua Dulce Democratic Club,,Online educational resources,Other,,,Virtually,https://www.actonaguadulcedemocraticclub.com/democracy-in-action,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Ethnic or Minority Communities, Rural Communities",,"Collective action, Information sharing",No. Our services are offered free of cost.,1/7/26 14:49,,,,
Advancing Modoc,Virtual,,,,530-233-1685,https://advancingmodoc.org/,Tara Yarberry,Director,tyarberry@teachinc.org,Advancing Modoc,,"Digital literacy & skills training, Public Wi-Fi, Online educational resources, Workforce development resources",County-wide or across multiple counties,Modoc,,"Virtually, In-Person",https://advancingmodoc.org/,,Alturas,530-233-1685,Thursday 11:00 AM - 5:00 PM,https://advancingmodoc.org/,,Alturas,,Thursday 11:00 AM - 5:00 PM,https://advancingmodoc.org/,,Alturas,,Thursday 11:00 AM - 5:00 PM,https://advancingmodoc.org/,,Alturas,,Thursday 11:00 AM - 5:00 PM,https://advancingmodoc.org/,,Alturas,,Thursday 11:00 AM - 5:00 PM,https://advancingmodoc.org/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other",,"Organizational training, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/5/25 16:23,,,,
Alameda County Library,Virtual,,,,510-745-1500,https://aclibrary.org,Ben Gomberg,Library Logistics Division Director,bgomberg@aclibrary.org,Alameda County Library,,"Locating low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Online educational resources, Workforce development resources",County-wide or across multiple counties,Alameda,,Virtually,https://aclibrary.org/elibrary,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Partnership opportunities, Collective action, Information sharing, Other",No. Our services are offered free of cost.,12/29/25 16:23,,,,
Alameda County Library - Albany Library,1247 Marin Ave,Albany,CA,94706,510-526-3720,aclibrary.org,Blaine Wentworth,Library Manager,albany@aclibrary.org,Alameda County Library - Albany Library,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Alameda,,In-Person,,Alameda County Library - Albany Library,Albany,510-526-3720,"Monday 12:00 PM - 6:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 12:00 PM - 8:00 PM, Thursday 10:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - Albany Library,Albany,,"Monday 12:00 PM - 6:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 12:00 PM - 8:00 PM, Thursday 10:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - Albany Library,Albany,,"Monday 12:00 PM - 6:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 12:00 PM - 8:00 PM, Thursday 10:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - Albany Library,Albany,,"Monday 12:00 PM - 6:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 12:00 PM - 8:00 PM, Thursday 10:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - Albany Library,Albany,,"Monday 12:00 PM - 6:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 12:00 PM - 8:00 PM, Thursday 10:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,37.88783,-122.293359,"https://www.google.com/maps?q=37.88783,-122.293359",Alameda
Alameda County Library - Castro Valley Library,3600 Norbridge Ave,Castro Valley,CA,94546,510-667-7900,aclibrary.org,Dawn Balestreri,Library Manager,castrovalley@aclibrary.org,Alameda County Library - Castro Valley Library,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Alameda,,In-Person,,Alameda County Library - Castro Valley Library,Castro Valley,510-667-7900,"Monday 12:00 PM - 8:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - Castro Valley Library,Castro Valley,,"Monday 12:00 PM - 8:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - Castro Valley Library,Castro Valley,,"Monday 12:00 PM - 8:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - Castro Valley Library,Castro Valley,,"Monday 12:00 PM - 8:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - Castro Valley Library,Castro Valley,,"Monday 12:00 PM - 8:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 10:00 AM - 6:00 PM, Thursday 10:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,37.693098,-122.071088,"https://www.google.com/maps?q=37.693098,-122.071088",Alameda
Alameda County Library - Centerville Library,3801 Nicolet Ave,Fremont,CA,94536,510-795-2629,aclibrary.org,Elizabeth Gamell,Library Manager,fremontneighborhood@aclibrary.org,Alameda County Library - Centerville Library,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Alameda,,In-Person,,Alameda County Library - Centerville Library,Fremont,510-795-2629,"Monday Closed, Tuesday 10:00 AM - 5:00 PM, Wednesday 1:00 PM - 8:00 PM, Thursday 11:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday Closed",aclibrary.org,Alameda County Library - Centerville Library,Fremont,,"Monday Closed, Tuesday 10:00 AM - 5:00 PM, Wednesday 1:00 PM - 8:00 PM, Thursday 11:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday Closed",aclibrary.org,Alameda County Library - Centerville Library,Fremont,,"Monday Closed, Tuesday 10:00 AM - 5:00 PM, Wednesday 1:00 PM - 8:00 PM, Thursday 11:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday Closed",aclibrary.org,Alameda County Library - Centerville Library,Fremont,,"Monday Closed, Tuesday 10:00 AM - 5:00 PM, Wednesday 1:00 PM - 8:00 PM, Thursday 11:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday Closed",aclibrary.org,Alameda County Library - Centerville Library,Fremont,,"Monday Closed, Tuesday 10:00 AM - 5:00 PM, Wednesday 1:00 PM - 8:00 PM, Thursday 11:00 AM - 6:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday Closed",aclibrary.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,37.567933,-122.022291,"https://www.google.com/maps?q=37.567933,-122.022291",Alameda
Alameda County Library - Cherryland Community Center Library,278 Hampton Road,Hayward,CA,94541,510-626-8522,aclibrary.org,Rachel Sher,Library Manager,sanlorenzo@aclibrary.org,Alameda County Library - Cherryland Community Center Library,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Alameda,,In-Person,,Alameda County Library - Cherryland Community Center Library,Hayward,510-626-8522,"Monday 10:00 AM - 8:00 PM, Tuesday 10:00 AM - 8:00 PM, Wednesday 10:00 AM - 8:00 PM, Thursday 10:00 AM - 8:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - Cherryland Community Center Library,Hayward,,"Monday 10:00 AM - 8:00 PM, Tuesday 10:00 AM - 8:00 PM, Wednesday 10:00 AM - 8:00 PM, Thursday 10:00 AM - 8:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - Cherryland Community Center Library,Hayward,,"Monday 10:00 AM - 8:00 PM, Tuesday 10:00 AM - 8:00 PM, Wednesday 10:00 AM - 8:00 PM, Thursday 10:00 AM - 8:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - Cherryland Community Center Library,Hayward,,"Monday 10:00 AM - 8:00 PM, Tuesday 10:00 AM - 8:00 PM, Wednesday 10:00 AM - 8:00 PM, Thursday 10:00 AM - 8:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - Cherryland Community Center Library,Hayward,,"Monday 10:00 AM - 8:00 PM, Tuesday 10:00 AM - 8:00 PM, Wednesday 10:00 AM - 8:00 PM, Thursday 10:00 AM - 8:00 PM, Friday Closed, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,37.684228,-122.112106,"https://www.google.com/maps?q=37.684228,-122.112106",Alameda
Alameda County Library - Dublin Library,200 Civic Plaza,Dublin,CA,94568,925-803-7252,aclibrary.org,Shammi Gill,Library Manager,dublin@aclibrary.org,Alameda County Library - Dublin Library,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Alameda,,In-Person,,Alameda County Library - Dublin Library,Dublin,925-803-7252,"Monday 12:00 PM - 8:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 11:00 AM - 6:00 PM, Thursday 11:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - Dublin Library,Dublin,,"Monday 12:00 PM - 8:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 11:00 AM - 6:00 PM, Thursday 11:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - Dublin Library,Dublin,,"Monday 12:00 PM - 8:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 11:00 AM - 6:00 PM, Thursday 11:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - Dublin Library,Dublin,,"Monday 12:00 PM - 8:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 11:00 AM - 6:00 PM, Thursday 11:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,Alameda County Library - Dublin Library,Dublin,,"Monday 12:00 PM - 8:00 PM, Tuesday 12:00 PM - 8:00 PM, Wednesday 11:00 AM - 6:00 PM, Thursday 11:00 AM - 6:00 PM, Friday 10:00 AM - 5:00 PM, Saturday 10:00 AM - 5:00 PM, Sunday 1:00 PM - 5:00 PM",aclibrary.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,37.70287,-121.91896,"https://www.google.com/maps?q=37.70287,-121.91896",Alameda
Alameda County Library - Fremont Main Library,2400 Stevenson Blvd,Fremont,CA,94538,510-745-1400,aclibrary.org,Becky Machetta,Library Manager,fremont@aclibrary.org,Alameda County Library - Fremont Main Library,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Alameda,,In-Person,,Alameda County Library - Fremont Main Library,Fremont,510-745-1400,"Monday Closed, Tuesday 3:00 PM - 7:30 PM, Wednesday Closed, Thursday Closed, Friday 10:00 AM - 4:30 PM, Saturday 10:00 AM - 2:00 PM, Sunday Closed",aclibrary.org,Alameda County Library - Fremont Main Library,Fremont,,"Monday Closed, Tuesday 3:00 PM - 7:30 PM, Wednesday Closed, Thursday Closed, Friday 10:00 AM - 4:30 PM, Saturday 10:00 AM - 2:00 PM, Sunday Closed",aclibrary.org,Alameda County Library - Fremont Main Library,Fremont,,"Monday Closed, Tuesday 3:00 PM - 7:30 PM, Wednesday Closed, Thursday Closed, Friday 10:00 AM - 4:30 PM, Saturday 10:00 AM - 2:00 PM, Sunday Closed",aclibrary.org,Alameda County Library - Fremont Main Library,Fremont,,"Monday Closed, Tuesday 3:00 PM - 7:30 PM, Wednesday Closed, Thursday Closed, Friday 10:00 AM - 4:30 PM, Saturday 10:00 AM - 2:00 PM, Sunday Closed",aclibrary.org,Alameda County Library - Fremont Main Library,Fremont,,"Monday Closed, Tuesday 3:00 PM - 7:30 PM, Wednesday Closed, Thursday Closed, Friday 10:00 AM - 4:30 PM, Saturday 10:00 AM - 2:00 PM, Sunday Closed",aclibrary.org,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,,37.550823,-121.97098,"https://www.google.com/maps?q=37.550823,-121.97098",Alameda
