Name of Organization,Organization Address,Organization City,"Organization State
(Drop-down options)",Organization Zip/Postal Code,Business Phone Number,Hours of Operation,Webpage,Name of Point of Contact,Position/Title,Business Email Address,"Type of Organization
(Response options in Question 3 of the Read-Me.)",What digital inclusion service(s) does your entity/organization provide to individuals? (Response options in Question 4 of the Read-Me.),"What is your entity/organization's service area?
(Drop-down options)",Please indicate all the counties in which you provide services.(Response options in Question 6 of the Read-Me).,Please indicate all the cities in which you provide services.,"In-Person or Virtual Services
(Drop-down options)","Does your entity/organization charge for its services?
(Drop-down options)","Does your entity/organization serve individuals at or below 150% of the Federal Poverty Level?
(Drop-down options)","If yes, does your entity/organization serve any additional populations? (Response options in Question 10a of the Read-Me).",What language(s) does your entity/organization provide its services in?,Does your entity/organization provide any of the following support or services to other organizations? (Response options in Question 12 of the Read-Me.),"Does your entity/organization charge for its services?
(Drop-down options)",,,
Alameda County Library,2450 Stevenson Blvd,Fremont,CA,94538,5107451500,Mon-Fri 8:30am - 5:00pm,aclibrary.org,Ben Gomberg,Library Logistics Division Director,ask@aclibrary.libanswers.com,"Library, County Government, Not a Private Sector or Non-Governmental Organization","Locating low-cost internet service programs,
Enrollment assistance in low-cost internet service programs,
Digital navigation (in-person or virtual/call center),
Digital literacy & skills training,
Public Wi-Fi,
Computer center(s),
Online educational resources,
Workforce development resources",County-wide or across multiple counties,Alameda,"Albany, Dublin, Fremont, Newark, Union City",Both,No,Yes,All,All," Partnership opportunities, Collective action, Information sharing, Other - we provide free hotspots to partner organizations",No,,,
Alameda County Library - Albany Library,1247 Marin Ave,Albany,CA,94706,5105263720,"Mon 12:00pm-6:00pm, Tue 12:00pm-8:00pm, Wed 12:00pm-8:00pm, Thu 10:00am-6:00pm, Fri Closed, Sat 10:00am-5:00pm, Sun 1:00pm-5:00pm",aclibrary.org,Blaine Wentworth,Library Manager,albany@aclibrary.org,"Library, County Government","Locating low-cost internet service programs,
Enrollment assistance in low-cost internet service programs,
Digital navigation (in-person or virtual/call center),
Digital literacy & skills training,
Public Wi-Fi,
Computer center(s),
Online educational resources,
Workforce development resources",County-wide or across multiple counties,Alameda,Albany,Both,No,Yes,All,All," Partnership opportunities, Collective action, Information sharing, Other - we provide free hotspots to partner organizations",No,,,
Alameda County Library - Castro Valley Library,3600 Norbridge Ave,Castro Valley,CA,94546,5106677900,"Mon 12:00pm-8:00pm, Tue 12:00pm-8:00pm, Wed 10:00am-6:00pm, Thu 10:00am-6:00pm, Fri Closed, Sat 10:00am-5:00pm, Sun 1:00pm-5:00pm",aclibrary.org,Dawn Balestreri,Library Manager,castrovalley@aclibrary.org,"Library, County Government","Locating low-cost internet service programs,
Enrollment assistance in low-cost internet service programs,
Digital navigation (in-person or virtual/call center),
Digital literacy & skills training,
Public Wi-Fi,
Computer center(s),
Online educational resources,
Workforce development resources",County-wide or across multiple counties,Alameda,Castro Valley,Both,No,Yes,All,All," Partnership opportunities, Collective action, Information sharing, Other - we provide free hotspots to partner organizations",No,,,
Alameda County Library - Centerville Library,3801 Nicolet Ave,Fremont,CA,94536,5107952629,"Mon Closed, Tue 10:00am-5:00pm, Wed 1:00pm-8:00pm, Thu 11:00am-6:00pm, Fri Closed, Sat 10:00am-5:00pm, Sun Closed",aclibrary.org,Elizabeth Gamell,Library Manager,fremontneighborhood@aclibrary.org,"Library, County Government","Locating low-cost internet service programs,
Enrollment assistance in low-cost internet service programs,
Digital navigation (in-person or virtual/call center),
Digital literacy & skills training,
Public Wi-Fi,
Computer center(s),
Online educational resources,
Workforce development resources",County-wide or across multiple counties,Alameda,Fremont,Both,No,Yes,All,All," Partnership opportunities, Collective action, Information sharing, Other - we provide free hotspots to partner organizations",No,,,
Alameda County Library - Cherryland Community Center Library,278 Hampton Road,Hayward,CA,94541,5106268522,"Mon 10:00am-8:00pm, Tue 10:00am-8:00pm, Wed 10:00am-8:00pm, Thu 10:00am-8:00pm, Fri Closed, Sat 10:00am-5:00pm, Sun 1:00pm-5:00pm",aclibrary.org,Rachel Sher,Library Manager,sanlorenzo@aclibrary.org,"Library, County Government","Locating low-cost internet service programs,
Enrollment assistance in low-cost internet service programs,
Digital navigation (in-person or virtual/call center),
Digital literacy & skills training,
Public Wi-Fi,
Computer center(s),
Online educational resources,
Workforce development resources",County-wide or across multiple counties,Alameda,Hayward,Both,No,Yes,All,All," Partnership opportunities, Collective action, Information sharing, Other - we provide free hotspots to partner organizations",No,,,
Alameda County Library - Dublin Library,200 Civic Plaza,Dublin,CA,94568,9258037252,"Mon 12:00pm-8:00pm, Tue 12:00pm-8:00pm, Wed 11:00am-6:00pm, Thu 11:00am-6:00pm, Fri 10:00am-5:00pm, Sat 10:00am-5:00pm, Sun 1:00pm-5:00pm",aclibrary.org,Shammi Gill,Library Manager,dublin@aclibrary.org,"Library, County Government","Locating low-cost internet service programs,
Enrollment assistance in low-cost internet service programs,
Digital navigation (in-person or virtual/call center),
Digital literacy & skills training,
Public Wi-Fi,
Computer center(s),
Online educational resources,
Workforce development resources",County-wide or across multiple counties,Alameda,Dublin,Both,No,Yes,All,All," Partnership opportunities, Collective action, Information sharing, Other - we provide free hotspots to partner organizations",No,,,
Alameda County Library - Fremont Main Library,2400 Stevenson Blvd,Fremont,CA,94538,5107451400,"Mon Closed, Tue 3:00pm-7:30pm, Wed Closed, Thu Closed, Fri 10:00am-4:30pm, Sat 10:00am-2:00pm, Sun Closed",aclibrary.org,Becky Machetta,Library Manager,fremont@aclibrary.org,"Library, County Government","Locating low-cost internet service programs,
Enrollment assistance in low-cost internet service programs,
Digital navigation (in-person or virtual/call center),
Digital literacy & skills training,
Public Wi-Fi,
Computer center(s),
Online educational resources,
Workforce development resources",County-wide or across multiple counties,Alameda,Fremont,Both,No,Yes,All,All," Partnership opportunities, Collective action, Information sharing, Other - we provide free hotspots to partner organizations",No,,,
Alameda County Library - Newark Library,37055 Newark Blvd,Newark,CA,94560,5102840675,"Mon 12:00pm-8:00pm, Tue 12:00pm-8:00pm, Wed 10:00am-6:00pm, Thu 10:00am-6:00pm, Fri Closed, Sat 10:00am-5:00pm, Sun 1:00pm-5:00pm",aclibrary.org,Joe Stoner,Library Manager,newarklibrary@aclibrary.org,"Library, County Government","Locating low-cost internet service programs,
Enrollment assistance in low-cost internet service programs,
Digital navigation (in-person or virtual/call center),
Digital literacy & skills training,
Public Wi-Fi,
Computer center(s),
Online educational resources,
Workforce development resources",County-wide or across multiple counties,Alameda,Newark,Both,No,Yes,All,All," Partnership opportunities, Collective action, Information sharing, Other - we provide free hotspots to partner organizations",No,,,
Alameda County Library - Niles Library,150 I Street,Fremont,CA,94536,5107952626,"Mon Closed, Tue Closed, Wed Closed, Thu Closed, Fri 10:00am-5:00pm, Sat Closed, Sun Closed",aclibrary.org,Elizabeth Gamell,Library Manager,fremontneighborhood@aclibrary.org,"Library, County Government","Locating low-cost internet service programs,
Enrollment assistance in low-cost internet service programs,
Digital navigation (in-person or virtual/call center),
Digital literacy & skills training,
Public Wi-Fi,
Computer center(s),
Online educational resources,
Workforce development resources",County-wide or across multiple counties,Alameda,Fremont,Both,No,Yes,All,All," Partnership opportunities, Collective action, Information sharing, Other - we provide free hotspots to partner organizations",No,,,
Alameda County Library - San Lorenzo Library,395 Paseo Grande,San Lorenzo,CA,94580,5102840640,"Mon 12:00pm-8:00pm, Tue 12:00pm-8:00pm, Wed 10:00am-6:00pm, Thu 10:00am-6:00pm, Fri Closed, Sat 10:00am-5:00pm, Sun 1:00pm-5:00pm",aclibrary.org,Rachel Sher,Library Manager,sanlorenzo@aclibrary.org,"Library, County Government","Locating low-cost internet service programs,
Enrollment assistance in low-cost internet service programs,
Digital navigation (in-person or virtual/call center),
Digital literacy & skills training,
Public Wi-Fi,
Computer center(s),
Online educational resources,
Workforce development resources",County-wide or across multiple counties,Alameda,San Lorenzo,Both,No,Yes,All,All," Partnership opportunities, Collective action, Information sharing, Other - we provide free hotspots to partner organizations",No,,,
Alameda County Library - Union City Library,34077 Alvarado-Niles Road,Union City,CA,94587,5107451464,"Mon Closed, Tue 10:00am-6:00pm, Wed 10:00am-6:00pm, Thu 10:00am-8:00pm, Fri 12:00pm-6:00pm, Sat 10:00am-5:00pm, Sun Closed",aclibrary.org,Nidya Gonzalez,Library Manager,unioncitylibrary@aclibrary.org,"Library, County Government","Locating low-cost internet service programs,
Enrollment assistance in low-cost internet service programs,
Digital navigation (in-person or virtual/call center),
Digital literacy & skills training,
Public Wi-Fi,
Computer center(s),
Online educational resources,
Workforce development resources",County-wide or across multiple counties,Alameda,Union City,Both,No,Yes,All,All," Partnership opportunities, Collective action, Information sharing, Other - we provide free hotspots to partner organizations",No,,,
Bernal Heights Neighborhood Center- Excelsior Senior Center,4468 Mission Street,San Francisco,CA,94112,415-206-2140x170,M-Sat 9:00-3:00 M-F 9:00-1:00 Sat,https://www.sfhsa.org/services/disability-aging/community-activities/sf-connected/sf-connected-locations,DAS-OCP SF Connected,DAS OCP /SF Connected Program Team,"""SFConnected,  (HSA) (DSS)"" <sfconnected@sfgov.org>",Other: SF Connected Technology Lab hosted at non-Governmental Organization sites,Public Wi-Fi and Computer center,City-wide or across multiple cities,San Francisco,San Francisco,In-Person,No,Yes,"Aging Individuals (Age 60+),Veterans Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","Other- SF Connected computer- interface languages (Chinese, English, Russian, Spanish, Vietnamese)
",Partnership opportunities,,,,
Bernal Heights Neighborhood Center-Bernal Heights Senior Center,515 Cortland Avenue,San Francisco,CA,94110,415-206-2140x142,M-F 9:00-3:00,https://www.sfhsa.org/services/disability-aging/community-activities/sf-connected/sf-connected-locations,DAS-OCP SF Connected,DAS OCP /SF Connected Program Team,"""SFConnected,  (HSA) (DSS)"" <sfconnected@sfgov.org>",Other: SF Connected Technology Lab hosted at non-Governmental Organization sites,Public Wi-Fi and Computer center,City-wide or across multiple cities,San Francisco,San Francisco,In-Person,No,Yes,"Aging Individuals (Age 60+),Veterans Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","Other- SF Connected computer- interface languages (Chinese, English, Russian, Spanish, Vietnamese)
",Partnership opportunities,,,,
Catholic Charities - OMI Senior Center,"2616 Ocean Ave,",San Francisco,CA,94132,415-334-5550,M-F 9:00 -2:00,https://www.sfhsa.org/services/disability-aging/community-activities/sf-connected/sf-connected-locations,DAS-OCP SF Connected,DAS OCP /SF Connected Program Team,"""SFConnected,  (HSA) (DSS)"" <sfconnected@sfgov.org>",Other: SF Connected Technology Lab hosted at non-Governmental Organization sites,Public Wi-Fi and Computer center,City-wide or across multiple cities,San Francisco,San Francisco,In-Person,No,Yes,"Aging Individuals (Age 60+),Veterans Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","Other- SF Connected computer- interface languages (Chinese, English, Russian, Spanish, Vietnamese)
",Partnership opportunities,,,,
Centro Latino de San Francisco Community Center,1656 15th Street,San Francisco,CA,94103,415-861-8758,M-F 9:00-1:00,https://www.sfhsa.org/services/disability-aging/community-activities/sf-connected/sf-connected-locations,DAS-OCP SF Connected,DAS OCP /SF Connected Program Team,"""SFConnected,  (HSA) (DSS)"" <sfconnected@sfgov.org>",Other: SF Connected Technology Lab hosted at non-Governmental Organization sites,Public Wi-Fi and Computer center,City-wide or across multiple cities,San Francisco,San Francisco,In-Person,No,Yes,"Aging Individuals (Age 60+),Veterans Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","Other- SF Connected computer- interface languages (Chinese, English, Russian, Spanish, Vietnamese)
",Partnership opportunities,,,,
Community Health Centers of the Central Coast,430 S. Blosser Rd.,Santa Maria,CA,93454,(866) 614-4636,"8:00am - 5:00pm, Monday - Friday",https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",Digital navigation (in-person or virtual/call center),County-wide or across multiple counties,"San Luis Obispo, Santa Barbara",,Both,Yes,Yes,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No,,,
Community Health Centers of the Central Coast,1510 Miller St. Suite 104B,Santa Maria,CA,93454,(866) 614-4636,"8:00am - 5:00pm, Monday - Friday",https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",Digital navigation (in-person or virtual/call center),County-wide or across multiple counties,"San Luis Obispo, Santa Barbara",,Both,Yes,Yes,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No,,,
