Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply. ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted
Long Beach Collaboratory Program,"411 Ocean Blvd,",Long Beach,CA,90802,'+15625707002,https://www.longbeach.gov/smartcity/pilot-programs/lb-co-lab/,Ryan Welc,Program Manager,ryan.welch@longbeach.gov,City Government,,"Digital literacy & skills training, Workforce development resources",,Los Angeles,Long Beach (Los Angeles County.),In-Person,,,,,,https://www.longbeach.gov/smartcity/pilot-programs/lb-co-lab/,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Tagalog, Khmer","Organizational training, Train-the-trainer, Partnership opportunities, Information sharing",No. Our services are offered free of cost.,1/6/26 11:42
LA County Library,7400 E Imperial Hwy,Downey,CA,90242,'+15629408462,https://lacountylibrary.org/,Amy Crow,Assistant Library Administrator,acrow@library.lacounty.gov,"Library, County Government",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Los Angeles,,"Virtually, In-Person",https://lacountylibrary.org/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,1/5/26 16:54
United Way of Merced County,531 W. Main St.,Merced,CA,95340,'+12093834242,https://www.unitedwaymerced.org/,Robert Hypes,CEO,roberth@unitedwaymerced.org,"Community-based Organization / Non-profit (501c3), Digital Equity Coalition",,Locating low-cost internet service programs,,,,In-Person,,We prefer using our 2-1-1 telephone line.,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",Partnership opportunities,No. Our services are offered free of cost.,1/5/26 12:17
Los Angeles County Department of Aging & Disabilities,510 S. Vermont Avenue 11th floor,Los Angeles,CA,90020,'+13233564672,https://ad.lacounty.gov,Ivan Pacheco,DCIO,ipacheco@ad.lacounty.gov,"Other, County Government, Other, Other, LA county department providing services to adult over 60 years or adults 18 and over with disabilities",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Computer center(s)",,Los Angeles,,In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, LA county department providing services to adult over 60 years or adults 18 and over with disabilities","English, Spanish, Tagalog, Mandarin, Vietnamese, Korean, Cantonese, Armenian, Arabic, Russian, Japanese, French","Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,1/5/26 11:12
On Lok 30th Street Senior Center,225 30th Street,San Franciso,CA,94131,'+14152928812,https://www.onlok.org/senior-center/,"Imani Austin, DSW","Assistant Director of Senior Programs and Operations, Day Services",imani.austin@onlok.org,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,San Francisco,San Francisco (San Francisco County.),"Virtually, In-Person",https://alwaysactive.org/,On Lok 30th Street Senior Center,"225 30th Street, San Franciso, CA, 94131.0, US",'+14152928812,9AM-4PM/ 8:30AM-5PM,https://www.onlok.org/senior-center/,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Other","English, Spanish, Mandarin, Cantonese","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/31/25 11:20
LA County Metropolitan Transportation Authority,One Gateway Plaza,Los Angeles,CA,90012,'+12133171411,https://metro.net,Edward-Michael Muna,"Senior Manager Transportation Planning, Office of Equity and Race",munae@metro.net,Local or Regional Authority,,"Digital navigation (in-person or virtual/call center), Public Wi-Fi, Workforce development resources",,Los Angeles,,"Virtually, In-Person",https://www.metro.net/riding/rider-apps/,,,,,,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and it’s less than $25.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Mandarin, Korean, Armenian, Russian, Japanese, French, Khmer",,,12/30/25 15:37
Fresno County Public Library,2420 Mariposa Street,Fresno,CA,93721,'+15596007323,https://www.fresnolibrary.org/,Fae Giffen,Community Engagement Manager,fae.giffen@fresnolibrary.org,"Library, County Government",,"Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Fresno,,"Virtually, In-Person",https://www.fresnolibrary.org/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",English,Information sharing,No. Our services are offered free of cost.,12/30/25 13:25
Los Angeles County Office of Education,LACOE Technology Services - EdTech and Innovation,Downey,CA,90242,'+15629226111,https://www.lacoe.edu/services/technology/learning-support,Beth Olshewsky,Library Services Manager,edtech@lacoe.edu,"School (K-12), County Office of Education",,Digital literacy & skills training,,Los Angeles,,"Virtually, In-Person",https://www.lacoe.edu/services/technology/learning-support,Los Angeles County Office of Education EC,"9300 Imperial Hwy, Downey, CA, 90242.0, US",'+15629226111,8:00am-5:00pm,https://www.lacoe.edu/services/technology/learning-support,other locations will be included in spreadsheet to follow,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",English,"Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,12/30/25 10:44
San Francisco Public Library,100 Larkin St.,San Francisco,CA,94102,'+14155574400,https://sfpl.org,Maricela Leon-Barrera,Librarian III - Digital Equity Manager,maricela.leonbarrera@sfpl.org,"Library, County Government",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,"Alameda, Contra Costa, Marin, San Francisco, San Mateo",,"Virtually, In-Person",https://sfpl.org/research-learn,San Francisco Public Libraries - various locations,"100 Larkin St., San Francisco, CA, 94102.0, US",'+14155574400,"Mon 9am-6pm, Tue - Thu 9am-8pm, Fri, Sun 12-6pm, Sat 10am-6pm",https://sfpl.org/thebridge,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Cantonese",Partnership opportunities,No. Our services are offered free of cost.,12/30/25 10:19
"International Rescue Committee, San Jose",1210 S Bascom Ave,San Jose,CA,95128,'+14082770255,https://www.rescue.org/united-states/san-jose-ca,Amaline Chraibi,Digital Inclusion Specialist,sanjose@rescue.org,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,"Alameda, San Mateo, Santa Clara, Santa Cruz","Fremont (Alameda County.), Hayward (Alameda County.), Newark (Alameda County.), Union City (Alameda County.), East Palo Alto (San Mateo County.), Millbrae (San Mateo County.), Redwood City (San Mateo County.), Campbell (Santa Clara County.), Cupertino (Santa Clara County.), Gilroy (Santa Clara County.), Los Altos (Santa Clara County.), Los Altos Hills (Santa Clara County.), Los Gatos (Santa Clara County.), Milpitas (Santa Clara County.), Monte Sereno (Santa Clara County.), Morgan Hill (Santa Clara County.), Mountain View (Santa Clara County.), Palo Alto (Santa Clara County.), San Jose (Santa Clara County.), Santa Clara (Santa Clara County.), Saratoga (Santa Clara County.), Sunnyvale (Santa Clara County.), Santa Cruz (Santa Cruz County.), Scotts Valley (Santa Cruz County.)","Virtually, In-Person",https://www.rescue.org/united-states/san-jose-ca,International Rescue Committee,"1210 S Bascom Ave, #227, San Jose, CA, 95128.0, US",'+14082770255,9am-5pm,https://www.sjpl.org/blogs/post/introducing-tech-hubs-powered-by-sj-access/,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Other","English, Spanish, Farsi, Arabic","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/30/25 10:05
Alameda County Library,2450 Stevenson Blvd.,Fremont,CA,94538,'+15107451500,https://aclibrary.org,Ben Gomberg,Library Logistics Division Director,bgomberg@aclibrary.org,"Library, County Government",,"Locating low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Alameda,,"Virtually, In-Person",https://aclibrary.org/elibrary,We have more than 5 locations,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Cantonese","Partnership opportunities, Collective action, Information sharing, Other, We provide free hotspots to partner organizations",No. Our services are offered free of cost.,12/29/25 16:23
OC Public Libraries,1501 E. Saint Andrew Place,Santa Ana,CA,92705,'+17145663086,https://ocpl.org,Julie Quillman,County Librarian,julie.quillman@occr.ocgov.com,"Library, County Government",,"Digital literacy & skills training, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources",,Orange,,"Virtually, In-Person",https://ocpl.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,Yes,"English, Spanish, Vietnamese",,No. Our services are offered free of cost.,12/29/25 10:28
SeniorTechPal,El Dorado Hills,El Dorado Hills,CA,95762,'+19165420100,https://www.seniortechpal.org,Ashu Singla,CEO,ashusingla@seniortechpal.org,Community-based Organization / Non-profit (501c3),,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support",,"Alameda, El Dorado, Sacramento, San Francisco, Santa Clara","Fremont (Alameda County.), Union City (Alameda County.), Placerville (El Dorado County.), Rancho Cordova (Sacramento County.), Sacramento (Sacramento County.), San Francisco (San Francisco County.), Cupertino (Santa Clara County.)",In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+)",English,,,12/29/25 9:09
City and County of San Francisco,2 Gough St. 3rd floor,San Francisco,CA,94103,'+14153556700,https://www.sfhsa.org/services/disability-aging,Sarah Chan,Program Analyst,sarah.chan@sfgov.org,County Government,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Workforce development resources",,San Francisco,,"Virtually, In-Person",https://www.sfhsa.org/services/disability-aging/community-activities/sf-connected,DAS Benefits and Resources Hub,"2 Gough Street, San Francisco, CA, 94103.0, US",'+14153556700,Monday to Friday 8:00 am - 5:00 pm,https://www.sfhsa.org/services/disability-aging/community-activities/sf-connected,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Vietnamese, Cantonese, Russian","Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/24/25 12:35
Alameda Free Library,1550 Oak St.,Alameda,CA,94501,'+15107477777,https://alamedafree.org,Michael Eitner,Library Director,refdesk@alamedaca.gov,"Library, City Government",,"Technical support, Free/Low-cost hotspots, Public Wi-Fi, Online educational resources",,Alameda,Alameda (Alameda County.),In-Person,,Main Library,"1550 Oak St., Alameda, CA, 94501.0, US",'+15107477777,"Monday - Thursday 10 am-6 pm; Friday and Saturday, 9 am-5pm; Sunday 12-5 pm",https://alamedafree.org,West End Library,"788 Santa Clara Ave, Alameda, CA, 94501.0, US",'+15107477767,Monday-Thursday 10am-6pm; Friday 9am-5pm,alamedafree.org,Bay Farm Island Library,"3221 Mecartney Rd., Alameda, CA, 94502.0, US",'+15107477787,Monday-Thursday 10am-5pm; Saturday 9am-5pm,alamedafree.org,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Ethnic or Minority Communities","English, Spanish",,No. Our services are offered free of cost.,12/23/25 16:11
