Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply. ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted
International Rescue Committee in Los Angeles,625 N. Maryland Ave.,Glendale,CA,91206,'+18185506220,https://www.rescue.org/united-states/los-angeles-ca,Hilda Ghazarian,Adult Education Program Supervisor,hilda.ghazarian@rescue.org,International Rescue Committee in Los Angeles,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Online educational resources, Workforce development resources",County-wide or across multiple counties,"Kern, Los Angeles, Orange, Riverside, San Bernardino, Santa Barbara, Ventura",,Virtually,https://rescue.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Cantonese, Armenian, Farsi, Arabic, Russian, Other","Train-the-trainer, Partnership opportunities, Information sharing",No. Our services are offered free of cost.,1/12/2026 18:05
International Rescue Committee in Los Angeles,625 N. Maryland Ave.,Glendale,CA,91206,'+18185506220,https://www.rescue.org/united-states/los-angeles-ca,Hilda Ghazarian,Adult Education Program Supervisor,hilda.ghazarian@rescue.org,International Rescue Committee in Los Angeles,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Online educational resources, Workforce development resources",County-wide or across multiple counties,"Kern, Los Angeles, Orange, Riverside, San Bernardino, Santa Barbara, Ventura",,In-Person,,IRC Los Angeles Office in Glendale,Glendale,'+18185506220,9:00 am to 05:00 pm,https://www.rescue.org/united-states/los-angeles-ca,IRC Los Angeles Office in Glendale,Glendale,'+18185506220,9:00 am to 05:00 pm,https://www.rescue.org/united-states/los-angeles-ca,IRC Los Angeles Office in Glendale,Glendale,'+18185506220,9:00 am to 05:00 pm,https://www.rescue.org/united-states/los-angeles-ca,IRC Los Angeles Office in Glendale,Glendale,'+18185506220,9:00 am to 05:00 pm,https://www.rescue.org/united-states/los-angeles-ca,IRC Los Angeles Office in Glendale,Glendale,'+18185506220,9:00 am to 05:00 pm,https://www.rescue.org/united-states/los-angeles-ca,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Cantonese, Armenian, Farsi, Arabic, Russian, Other","Train-the-trainer, Partnership opportunities, Information sharing",No. Our services are offered free of cost.,1/12/2026 18:05
International Rescue Committee-Oakland,440 Grand Ave,Oakland,CA,94610,'+15104528222,https://www.rescue.org/united-states/oakland-ca,Mitchell Margolis,Site Director,mitchell.margolis@rescue.org,International Rescue Committee-Oakland,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,"Alameda, Contra Costa, San Francisco, San Joaquin, San Mateo, Santa Clara, Stanislaus",,Virtually,https://rescue.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other","English, Spanish, Farsi, Arabic","Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,1/12/2026 17:32
International Rescue Committee-Oakland,440 Grand Ave,Oakland,CA,94610,'+15104528222,https://www.rescue.org/united-states/oakland-ca,Mitchell Margolis,Site Director,mitchell.margolis@rescue.org,International Rescue Committee-Oakland,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,"Alameda, Contra Costa, San Francisco, San Joaquin, San Mateo, Santa Clara, Stanislaus",,In-Person,,International Rescue Committee-Oakland,Oakland,'+15104528222,5-Sep,,International Rescue Committee-Oakland,Oakland,'+15104528222,5-Sep,,International Rescue Committee-Oakland,Oakland,'+15104528222,5-Sep,,International Rescue Committee-Oakland,Oakland,'+15104528222,5-Sep,,International Rescue Committee-Oakland,Oakland,'+15104528222,5-Sep,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other","English, Spanish, Farsi, Arabic","Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,1/12/2026 17:32
International Rescue Committee,2020 Hurley Way,Sacramento,CA,95825,'+19164820120,https://rescue.org,Kendra Mitchell,"Senior Manager, Economic Empowerment",kendra.mitchell@rescue.org,International Rescue Committee,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,"Placer, Sacramento, Yolo",,Virtually,https://rescue.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Farsi, Arabic, Hindi, Russian, Other","Partnership opportunities, Collective action, Information sharing, Other",No. Our services are offered free of cost.,1/12/2026 16:42
International Rescue Committee,2020 Hurley Way,Sacramento,CA,95825,'+19164820120,https://rescue.org,Kendra Mitchell,"Senior Manager, Economic Empowerment",kendra.mitchell@rescue.org,International Rescue Committee,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,"Placer, Sacramento, Yolo",,In-Person,,2020 Hurley Way,Sacramento,'+19164820120,9am to 5pm,https://rescue.org,2020 Hurley Way,Sacramento,'+19164820120,9am to 5pm,https://rescue.org,2020 Hurley Way,Sacramento,'+19164820120,9am to 5pm,https://rescue.org,2020 Hurley Way,Sacramento,'+19164820120,9am to 5pm,https://rescue.org,2020 Hurley Way,Sacramento,'+19164820120,9am to 5pm,https://rescue.org,No. Our services are offered free of cost.,"Yes, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Farsi, Arabic, Hindi, Russian, Other","Partnership opportunities, Collective action, Information sharing, Other",No. Our services are offered free of cost.,1/12/2026 16:42
Los Angeles Alliance for Community Health & Aging (LAACHA),1000 S. Fremont Ave.,Alhambra,CA,91803,'+16262932600,https://laacha.org,"Patricia “Patty” Hernandez, MPH",Program Manager,phernandez@ph.lacounty.gov,Los Angeles Alliance for Community Health & Aging (LAACHA),,"Digital literacy & skills training, Technical support",County-wide or across multiple counties,Los Angeles,,Virtually,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+)","English, Spanish, Tagalog, Mandarin, Cantonese","Organizational training, Train-the-trainer, Partnership opportunities, Information sharing",No. Our services are offered free of cost.,1/12/2026 16:14
Los Angeles Alliance for Community Health & Aging (LAACHA),1000 S. Fremont Ave.,Alhambra,CA,91803,'+16262932600,https://laacha.org,"Patricia “Patty” Hernandez, MPH",Program Manager,phernandez@ph.lacounty.gov,Los Angeles Alliance for Community Health & Aging (LAACHA),,"Digital literacy & skills training, Technical support",County-wide or across multiple counties,Los Angeles,,In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+)","English, Spanish, Tagalog, Mandarin, Cantonese","Organizational training, Train-the-trainer, Partnership opportunities, Information sharing",No. Our services are offered free of cost.,1/12/2026 16:14
The Hidden Genius Project,1085 Redondo Ave,Long Beach,CA,90804,'+18163158229,https://www.hiddengeniusproject.org/about/,Montanna McDaniel,Site Director,montanna@hiddengeniusproject.org,The Hidden Genius Project,,"Digital literacy & skills training, Free/Low-cost devices, Workforce development resources",City-wide or across multiple cities,"Alameda, Contra Costa, Los Angeles",,In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Ethnic or Minority Communities",English,Partnership opportunities,Yes. We charge a fee for our services.,1/12/2026 15:58
Capital Region Coalition for Digital Inclusion,3400 3rd Avenue,Sacramento,CA,95817,'+19163251630,https://capitalregiondigitalinclusion.org/,Navreet Hundal,Project Coordinator,info@capitalregiondigitalinclusion.org,Capital Region Coalition for Digital Inclusion,,"Locating low-cost internet service programs, Online educational resources, Workforce development resources",County-wide or across multiple counties,"Alpine, Colusa, El Dorado, Glenn, Placer, Sacramento, Sutter, Yolo, Yuba",,Virtually,https://capitalregiondigitalinclusion.org/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",English,"Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,1/12/2026 15:36
